Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
SVG,shapes/55.svg,55.svg,6,6,0,0,0,498,0
SVG,shapes/550.svg,550.svg,7,7,0,0,0,1177,0
SVG,shapes/5500.svg,5500.svg,6,6,0,0,0,428,0
SVG,shapes/5501.svg,5501.svg,6,6,0,0,0,427,0
SVG,shapes/5502.svg,5502.svg,6,6,0,0,0,428,0
SVG,shapes/5503.svg,5503.svg,6,6,0,0,0,428,0
SVG,shapes/5504.svg,5504.svg,6,6,0,0,0,428,0
SVG,shapes/5505.svg,5505.svg,6,6,0,0,0,427,0
SVG,shapes/5506.svg,5506.svg,6,6,0,0,0,428,0
SVG,shapes/5507.svg,5507.svg,6,6,0,0,0,429,0
SVG,shapes/5508.svg,5508.svg,6,6,0,0,0,427,0
SVG,shapes/5509.svg,5509.svg,6,6,0,0,0,428,0
SVG,shapes/551.svg,551.svg,8,8,0,0,0,983,0
SVG,shapes/5510.svg,5510.svg,6,6,0,0,0,428,0
SVG,shapes/5511.svg,5511.svg,6,6,0,0,0,429,0
SVG,shapes/5512.svg,5512.svg,6,6,0,0,0,428,0
SVG,shapes/5513.svg,5513.svg,6,6,0,0,0,428,0
SVG,shapes/5514.svg,5514.svg,6,6,0,0,0,427,0
SVG,shapes/5515.svg,5515.svg,6,6,0,0,0,428,0
SVG,shapes/5516.svg,5516.svg,6,6,0,0,0,429,0
SVG,shapes/5517.svg,5517.svg,6,6,0,0,0,425,0
SVG,shapes/5518.svg,5518.svg,6,6,0,0,0,427,0
SVG,shapes/5519.svg,5519.svg,6,6,0,0,0,428,0
SVG,shapes/552.svg,552.svg,7,7,0,0,0,1332,0
SVG,shapes/5520.svg,5520.svg,6,6,0,0,0,429,0
SVG,shapes/5521.svg,5521.svg,6,6,0,0,0,428,0
SVG,shapes/5522.svg,5522.svg,6,6,0,0,0,427,0
SVG,shapes/5523.svg,5523.svg,6,6,0,0,0,428,0
Plain Text,texts/5525.txt,5525.txt,17,17,0,0,0,475,0
Plain Text,texts/5526.txt,5526.txt,7,7,0,0,0,170,0
Plain Text,texts/5528.txt,5528.txt,1,1,0,0,0,12,0
Plain Text,texts/5529.txt,5529.txt,1,1,0,0,0,12,0
SVG,shapes/553.svg,553.svg,8,8,0,0,0,1234,0
SVG,shapes/5530.svg,5530.svg,7,7,0,0,0,991,0
SVG,shapes/5531.svg,5531.svg,13,13,0,0,0,1134,0
SVG,shapes/5532.svg,5532.svg,8,8,0,0,0,1054,0
Plain Text,texts/5534.txt,5534.txt,1,1,0,0,0,4,0
Plain Text,texts/5535.txt,5535.txt,1,1,0,0,0,21,0
Plain Text,texts/5536.txt,5536.txt,1,1,0,0,0,2,0
SVG,shapes/5537.svg,5537.svg,6,6,0,0,0,985,0
Plain Text,texts/5539.txt,5539.txt,1,1,0,0,0,78,0
SVG,shapes/554.svg,554.svg,7,7,0,0,0,804,0
Plain Text,texts/5540.txt,5540.txt,0,0,0,0,0,0,0
Plain Text,texts/5541.txt,5541.txt,1,1,0,0,0,17,0
Plain Text,texts/5542.txt,5542.txt,1,1,0,0,0,4,0
Plain Text,texts/5543.txt,5543.txt,3,3,0,0,0,126,0
Plain Text,texts/5544.txt,5544.txt,0,0,0,0,0,0,0
Plain Text,texts/5545.txt,5545.txt,1,1,0,0,0,4,0
Plain Text,texts/5546.txt,5546.txt,1,1,0,0,0,6,0
Plain Text,texts/5548.txt,5548.txt,1,1,0,0,0,16,0
Plain Text,texts/5549.txt,5549.txt,1,1,0,0,0,7,0
SVG,shapes/555.svg,555.svg,7,7,0,0,0,1177,0
Plain Text,texts/5550.txt,5550.txt,1,1,0,0,0,15,0
SVG,shapes/5551.svg,5551.svg,7,7,0,0,0,618,0
SVG,shapes/5554.svg,5554.svg,7,7,0,0,0,588,0
SVG,shapes/5556.svg,5556.svg,7,7,0,0,0,588,0
SVG,shapes/5557.svg,5557.svg,7,7,0,0,0,588,0
Plain Text,texts/5558.txt,5558.txt,1,1,0,0,0,1,0
Plain Text,texts/5559.txt,5559.txt,1,1,0,0,0,2,0
SVG,shapes/556.svg,556.svg,7,7,0,0,0,777,0
Plain Text,texts/5560.txt,5560.txt,1,1,0,0,0,7,0
Plain Text,texts/5563.txt,5563.txt,1,1,0,0,0,1,0
Plain Text,texts/5564.txt,5564.txt,1,1,0,0,0,1,0
Plain Text,texts/5565.txt,5565.txt,1,1,0,0,0,1,0
Plain Text,texts/5566.txt,5566.txt,1,1,0,0,0,1,0
